,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Deaths,ParentLocationCode,Country Code,GDP,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25
339,Pakistan,2014,0.256567405,0.573810953,0.151117244,3.818723781,0.673965898,3.305567572,1.520378442,56.97715,167,13.5,9.96,7.274,EMR,PAK,271390.474857632,208.25163,6.055646,29.129564,80.2682,123.13657
340,Pakistan,2015,0.256563437,0.573979115,0.152312751,3.820925241,0.669100591,3.309776448,1.525195872,56.44031,166,13.5,9.96,7.097,EMR,PAK,299963.590534773,210.9693,6.001057,29.279792,81.06765,124.22386
341,Panama,2000,0.205682514,0.800922517,0.249866889,2.848252232,0.69972093,2.666443905,1.328795626,91.89962,152,15.4,5.9,4.768,AMR,PAN,12304.115,3.001738,0.069067,0.337598,0.970575,1.539188
342,Panama,2010,0.209228578,0.807591365,0.279898915,2.87459252,0.708912493,2.652400287,1.402401733,94.09412,153,13.2,4.33,4.755,AMR,PAN,29440.2876,3.623622,0.075308,0.369057,1.057788,1.692877
343,Panama,2015,0.211825923,0.810562888,0.304010597,2.886010742,0.721561554,2.666329101,1.41056427,95.03823,146,14.2,2.95,4.875,AMR,PAN,54091.8,3.957102,0.078552,0.388538,1.109787,1.771533
344,Papua New Guinea,2000,0.206055957,0.409639499,0.097024385,3.176146702,0.710562761,3.185810987,1.182641086,57.34326,276,17.4,2.83,7.471,WPR,PNG,3521.33969907407,5.5083,0.177649,0.830622,2.222298,3.329282
345,Papua New Guinea,2010,0.205975188,0.410441042,0.097524761,3.184788428,0.721799488,3.191899802,1.203711061,61.6,235,17.1,3.29,7.134,WPR,PNG,14250.7866747766,7.583269,0.22,1.053277,2.871903,4.409078
346,Papua New Guinea,2014,0.207670439,0.410793108,0.10103904,3.188412759,0.729952312,3.184656501,1.209272826,63.09609,228,14.3,3.62,6.734,WPR,PNG,23210.823987308,8.464159,0.233099,1.126173,3.11685,4.806358
347,Papua New Guinea,2015,0.208255786,0.410902561,0.102154226,3.189703379,0.732032633,3.181005106,1.210566113,63.43349,226,14.1,3.65,6.585,WPR,PNG,21723.4370100982,8.682172,0.235461,1.141545,3.172037,4.897472
348,Paraguay,2007,0.19887181,1.069275123,0.213819726,5.981727681,0.524274171,2.902452629,2.266258444,94.55822,159,17.2,4.16,5.545,AMR,PRY,17856.3932354338,5.590148,0.128838,0.63796,1.944146,3.112265
349,Paraguay,2008,0.199140326,1.070391184,0.216221321,5.987616206,0.52769418,2.909552515,2.281605942,93.29208,157,22.6,3.93,5.529,AMR,PRY,24615.2676635456,5.645155,0.128655,0.635168,1.92827,3.10845
350,Paraguay,2009,0.199419253,1.071468532,0.218252088,5.993404743,0.52973009,2.917321456,2.295859633,93.75424,154,23.6,4.74,5.525,AMR,PRY,22355.151161994,5.702579,0.128506,0.633637,1.913352,3.103809
351,Paraguay,2010,0.199667619,1.072284302,0.221084176,5.997879052,0.532229273,2.923384667,2.306250791,93.87092,152,24.9,3.82,5.517,AMR,PRY,27260.886405226294,5.768618,0.12824899,0.633328,1.901292,3.102224
352,Paraguay,2012,0.200227702,1.073443282,0.225717802,6.003970997,0.533757329,2.935353344,2.324386729,94.19747,149,22.9,4.7,5.464,AMR,PRY,33271.921136314995,5.923327,0.128315,0.63463,1.885564,3.10725
353,Paraguay,2013,0.20059071,1.073979986,0.227795952,6.006738114,0.533490879,2.941106965,2.335267196,95.05904,148,23.2,5.07,5.436,AMR,PRY,38501.1221414241,6.005656,0.12993601,0.636876,1.881463,3.110513
354,Paraguay,2014,0.201005491,1.074511027,0.230337146,6.009524856,0.532519575,2.946082487,2.347035911,95.03481,147,21.8,5.95,5.481,AMR,PRY,40377.9292956419,6.090727,0.132828,0.641731,1.881345,3.115116
355,Paraguay,2015,0.201450998,1.074952633,0.232781385,6.011838021,0.53195387,2.950421232,2.359245485,95.55484,146,22.0,5.85,5.446,AMR,PRY,36211.4478400971,6.177954,0.135324,0.64905,1.884941,3.120786
356,Paraguay,2016,0.201928312,1.075336258,0.235552411,6.013756938,0.530195447,2.955169036,2.371825853,94.65024,146,22.6,5.64,5.398,AMR,PRY,36089.7002229461,6.266623,0.136897,0.657943,1.891648,3.126616
357,Peru,2004,0.198387372,0.885768985,0.324520638,4.242373079,0.587753245,2.313472019,1.545797657,87.66985,145,15.4,3.06,5.838,AMR,PER,66768.7034975687,27.893914,0.60599,3.009501,9.020681,14.55236
358,Peru,2005,0.1986127,0.886315049,0.327810844,4.244561981,0.589931896,2.307328979,1.53054071,87.90867,143,15.9,2.96,5.98,AMR,PER,76060.6060606061,28.14726,0.61426,3.006769,8.964036,14.509175
359,Peru,2006,0.198936004,0.886826718,0.331958113,4.246647928,0.590550221,2.299029697,1.515697199,88.69934,141,16.6,2.89,6.177,AMR,PER,88643.193061748,28.38108,0.620279,3.01661,8.910365,14.459773
360,Peru,2007,0.199444149,0.887502449,0.338857292,4.249522122,0.591855504,2.287940468,1.500536282,89.59081,139,16.6,2.82,6.416,AMR,PER,102170.981144136,28.60038,0.621531,3.035207,8.860567,14.405569
361,Peru,2012,0.201593363,0.889868419,0.360665626,4.258912232,0.590209537,2.261685062,1.454325779,93.84173,129,14.6,3.32,6.791,AMR,PER,192650.021648583,29.749592,0.599408,3.029095,8.693861,14.003251
362,Peru,2014,0.202270965,0.890348573,0.365750316,4.260582514,0.586649624,2.264655375,1.442572466,93.70795,157,13.6,2.98,6.612,AMR,PER,200786.250582943,30.353956,0.581476,2.972408,8.703936,13.958528
363,Peru,2015,0.202619063,0.890522323,0.367047509,4.260743815,0.585101216,2.267036818,1.437582156,94.16234,155,13.9,2.77,6.438,AMR,PER,189802.976285619,30.711864,0.574451,2.93871,8.723759,13.984959
364,Peru,2016,0.202959452,0.890628794,0.368376739,4.260439506,0.582291857,2.269521047,1.433313946,94.17367,154,13.9,2.66,6.318,AMR,PER,191898.104390379,31.132776,0.570381,2.90602,8.763515,14.060754
365,Philippines,2000,0.214687486,0.526630792,0.113993614,3.212918027,0.643412915,2.744973984,0.952973474,92.60006,213,9.8,2.26,5.729,WPR,PHL,83669.7882547279,77.95822,2.174617,10.523102,29.385304,44.649416
366,Philippines,2003,0.215999485,0.528760178,0.115781501,3.224935312,0.624415727,2.71639637,0.903033592,92.59069,212,10.1,2.27,5.576,WPR,PHL,87039.0929742272,82.94284,2.236863,10.863565,30.723856,46.750788
367,Philippines,2008,0.218167157,0.531432688,0.119599031,3.24420504,0.623478605,2.718874181,0.887098043,95.4201,207,10.0,2.36,5.559,WPR,PHL,181624.62632736095,91.25233,2.3425,11.297685,32.272702,49.83451
368,Philippines,2013,0.220632294,0.532930002,0.126439018,3.255141453,0.635704215,2.737508766,0.890799165,96.398,199,10.6,2.88,5.756,WPR,PHL,283902.82858165004,99.70011,2.357745,11.599809,33.322082,52.483644
369,Philippines,2015,0.222323371,0.533984755,0.130319194,3.260931622,0.641977184,2.749334902,0.892221976,98.18255,195,12.5,2.71,5.736,WPR,PHL,306445.87124671804,103.03136,2.340903,11.591459,33.625496,53.372656
370,Portugal,2011,0.248717096,0.923905871,0.503631931,5.372364759,0.671261548,4.753900252,1.294469146,94.47705,49,10.8,7.94,9.7,EUR,PRT,245117.990242248,10.56482,0.098097,0.494746,1.58401,2.729301
371,Portugal,2015,0.249003596,0.925072944,0.510326974,5.379129909,0.690378584,4.561402928,1.276458297,95.42811,44,8.3,8.31,10.5,EUR,PRT,199394.06652544,10.365436,0.083897,0.443084,1.475522,2.581015
372,Qatar,2004,0.213211647,0.827347883,0.319570663,4.498129908,1.617769128,3.672239317,0.7078727,88.96239,69,29.5,6.63,2.077,EMR,QAT,31734.0659340659,0.777951,0.012757,0.061477,0.173704,0.282052
373,Qatar,2007,0.214384281,0.82480447,0.319637332,4.427889276,1.672419252,3.591513477,0.717357751,93.08255,66,23.8,7.15,1.673,EMR,QAT,79712.08791208791,1.231904,0.015367,0.071164,0.192329,0.410351
374,Qatar,2008,0.214774813,0.823391294,0.318031631,4.394090553,1.753504555,3.551996891,0.724053394,93.98973,65,22.8,6.78,1.517,EMR,QAT,115270.054945055,1.444287,0.016579,0.078816,0.210279,0.469219
375,Qatar,2009,0.215104919,0.822013378,0.315595638,4.362986353,1.832218938,3.517299675,0.730138425,94.72429,65,18.1,6.73,1.38,EMR,QAT,97798.3516483516,1.610281,0.017684,0.08491,0.224329,0.499434
376,Qatar,2010,0.215290451,0.821045177,0.313912204,4.343099929,1.887667809,3.498144873,0.733654492,96.28374,65,15.9,6.39,1.263,EMR,QAT,125122.306346154,1.713512,0.019067,0.090847,0.236757,0.506068
377,Qatar,2011,0.215354897,0.820671254,0.313587468,4.33649944,1.919077824,3.492159753,0.734531039,96.40687,65,13.3,6.24,1.188,EMR,QAT,167775.268626374,1.804175,0.02087,0.098926,0.255484,0.531947
378,Qatar,2012,0.215382194,0.820656379,0.314642821,4.338099699,1.941896037,3.487639879,0.734512743,96.67859,65,12.7,5.83,1.156,EMR,QAT,186833.502362637,1.90567,0.022213,0.107155,0.276626,0.567035
379,Qatar,2013,0.215392106,0.820531038,0.315987562,4.337587696,1.963382954,3.484365705,0.734560423,97.47785,65,14.2,5.3,1.136,EMR,QAT,198727.642967033,2.035509,0.023104,0.113771,0.298867,0.604894
380,Qatar,2014,0.215386518,0.820265715,0.316683871,4.334798717,1.985606191,3.478948798,0.734646944,97.74669,64,13.4,5.02,1.102,EMR,QAT,206224.598571429,2.214471,0.023782,0.120336,0.318813,0.647116
381,Qatar,2015,0.215343609,0.82002223,0.316654345,4.334049391,2.001988841,3.478406399,0.734205504,97.75709,63,11.1,4.85,1.032,EMR,QAT,161739.955576923,2.41458,0.024634,0.128079,0.335584,0.682848
382,Romania,2002,0.194676456,0.747062013,0.15946211,3.221413706,0.443361143,2.349515803,1.839185798,97.29759,178,11.6,12.3193,12.4,EUR,ROU,46065.5027025817,21.65353,0.21377,1.107144,3.779259,7.170271
383,Romania,2011,0.198701653,0.750042053,0.186348965,3.235325098,0.448902665,2.331148681,1.71962754,98.60429,199,10.4,9.86,12.5,EUR,ROU,192613.579705885,20.220286,0.205737,1.063008,3.20586,5.743955
384,Romania,2015,0.200363292,0.751224021,0.196732755,3.230996104,0.4547626,2.343898716,1.698823554,98.75703,191,10.0,9.06,13.2,EUR,ROU,177883.883008747,19.906078,0.20443,1.009332,3.129109,5.330112
