Country,Year,Literarcy rate,Disease_deaths,Road traffic death rate,Suicide rate,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Deaths
Albania,2012,97.24697,103,13.8 [12.8-14.8],4.82,0.199863102,0.703539474,0.165446093,3.390806718,0.505621101,2.202191807,1.847374755,7.573
Albania,2012,97.24697,130,13.8 [12.8-14.8],4.82,0.199863102,0.703539474,0.165446093,3.390806718,0.505621101,2.202191807,1.847374755,7.573
Albania,2012,97.24697,77,13.8 [12.8-14.8],4.82,0.199863102,0.703539474,0.165446093,3.390806718,0.505621101,2.202191807,1.847374755,7.573
Albania,2015,97.5539,118,13.8 [12.7-14.8],4.23,0.200629842,0.704160792,0.171094897,3.388212385,0.513158142,2.204454204,1.850251797,7.947
Albania,2015,97.5539,66,13.8 [12.7-14.8],4.23,0.200629842,0.704160792,0.171094897,3.388212385,0.513158142,2.204454204,1.850251797,7.947
Albania,2015,97.5539,92,13.8 [12.7-14.8],4.23,0.200629842,0.704160792,0.171094897,3.388212385,0.513158142,2.204454204,1.850251797,7.947
Algeria,2002,69.8735,117,22.8 [20.2-25.4],4.43,0.193913562,0.807496907,0.187401094,4.991301114,1.526995247,3.659018145,0.64858447,4.932
Algeria,2002,69.8735,135,22.8 [20.2-25.4],4.43,0.193913562,0.807496907,0.187401094,4.991301114,1.526995247,3.659018145,0.64858447,4.932
Algeria,2002,69.8735,152,22.8 [20.2-25.4],4.43,0.193913562,0.807496907,0.187401094,4.991301114,1.526995247,3.659018145,0.64858447,4.932
Algeria,2006,72.64868,101,22.2 [19.8-24.6],3.65,0.195830458,0.811975156,0.196273134,5.024179137,1.569557832,3.650925963,0.652640463,4.947
Algeria,2006,72.64868,115,22.2 [19.8-24.6],3.65,0.195830458,0.811975156,0.196273134,5.024179137,1.569557832,3.650925963,0.652640463,4.947
Algeria,2006,72.64868,128,22.2 [19.8-24.6],3.65,0.195830458,0.811975156,0.196273134,5.024179137,1.569557832,3.650925963,0.652640463,4.947
Algeria,2008,75.13605,108,22.4 [20.0-24.8],3.31,0.196505312,0.813799424,0.200466795,5.033205636,1.626479023,3.62568648,0.658998268,4.91
Algeria,2008,75.13605,121,22.4 [20.0-24.8],3.31,0.196505312,0.813799424,0.200466795,5.033205636,1.626479023,3.62568648,0.658998268,4.91
Algeria,2008,75.13605,96,22.4 [20.0-24.8],3.31,0.196505312,0.813799424,0.200466795,5.033205636,1.626479023,3.62568648,0.658998268,4.91
Algeria,2015,79.6084,108,21.2 [18.9-23.5],2.72,0.197727657,0.817862336,0.211434171,5.058397773,1.709813861,3.636961843,0.665817197,4.437
Algeria,2015,79.6084,85,21.2 [18.9-23.5],2.72,0.197727657,0.817862336,0.211434171,5.058397773,1.709813861,3.636961843,0.665817197,4.437
Algeria,2015,79.6084,96,21.2 [18.9-23.5],2.72,0.197727657,0.817862336,0.211434171,5.058397773,1.709813861,3.636961843,0.665817197,4.437
Angola,2001,67.40542,333,25.2 [20.3-30.0],17.4593,0.164860598,0.618220191,0.131596635,3.243619331,0.511646246,4.199635841,1.417396666,17.789
